Period,Pressure,Speed,Temperature,Sound,Vibration
10753,103.79,93.36,81.96,68.51,134.33
10754,105.4,93.33,82.06,68.8,136.69
10755,105.83,91.35,82.77,69.07,138.09
10756,106,91.24,82.86,69.48,138.12
10757,106.08,90.78,82.91,72.65,138.14
10758,106.58,90.19,82.99,72.69,138.44
10759,106.99,88.73,83.43,74.28,143.02
10760,100,100,80,60,120
10761,100.11,99.86,80.15,60.63,120
10762,101.58,99.6,80.5,61.31,120.15
10763,101.71,98.38,80.54,62.27,120.51
10764,101.9,97.54,80.73,62.93,120.66
10765,102.32,97.5,80.87,63.12,121.26
10766,102.54,96.96,81.2,63.23,124.28
10767,102.74,96.63,81.23,65.11,127.51
10768,102.99,96.14,81.52,65.99,128
10769,103.33,95.77,81.59,66.52,129.58
10770,103.78,95.55,81.75,67.46,129.83
10771,104.7,95.48,82.25,67.64,133.31
10772,104.71,94.07,82.28,69.24,133.34
10773,105.5,93.47,82.37,70.58,134.61
10774,105.52,92.82,82.75,73.17,137.23
10775,106.13,92.77,82.79,73.99,138.14
10776,107.43,92.47,82.88,74.86,138.41
10777,107.53,92.18,83.03,76.04,138.48
10778,108.13,91.12,83.07,76.13,139.41
10779,108.34,90.19,83.49,76.93,139.45
10780,108.47,89.42,83.73,77.83,139.59
10781,100,100,80,60,120
10782,100.04,98.93,80.05,60.67,120.01
10783,101.28,96.51,80.07,60.94,120.14
10784,101.35,95.54,80.14,63.59,120.3
10785,102.26,94.05,80.42,63.89,120.68
10786,102.58,91.42,80.61,66.98,122.68
10787,102.68,90.17,80.7,67.19,123
10788,102.98,90.07,81.18,68.94,123.87
10789,103.07,89.27,81.43,70.37,124.22
10790,100,100,80,60,120
10791,101.21,98,80.67,63.01,120.17
10792,101.8,97.48,80.82,68.95,120.84
10793,102.35,97.44,81.01,69.6,121.04
10794,102.53,96.63,81.03,70.02,121.38
10795,102.69,96.28,81.16,72.06,121.47
10796,102.96,96.07,81.33,72.83,121.61
10797,103.15,94.5,81.39,73.03,122.45
10798,103.42,92.98,81.62,73.82,124.91
10799,103.59,92.84,81.68,74.53,125.6
10800,104.16,91.58,81.88,75.68,126.18
10801,104.29,91.24,81.99,76.74,127.38
10802,104.31,91.14,82.23,76.79,127.7
10803,104.89,90.82,82.39,78.19,129.04
10804,105.3,90.77,82.42,79.14,129.87
10805,105.6,90.61,82.51,79.59,130.05
10806,105.66,90.48,82.7,81.25,131.25
10807,105.79,89.52,82.82,82.8,134.16
10808,100,100,80,60,120
10809,100.46,99.13,80.16,60.36,120.22
10810,100.47,97.66,80.3,62.74,124.07
10811,100.5,95.52,80.74,65.71,125.09
10812,101.23,95.43,80.99,66.26,125.56
10813,101.35,95.31,81.16,66.54,126.36
10814,101.82,95.18,81.57,66.94,126.54
10815,101.9,93.6,81.68,67.77,127.91
10816,102.34,92.96,81.71,69.37,128.61
10817,102.84,91.33,81.94,74.02,129.14
10818,102.9,89.86,82.37,75.14,130.22
10819,100,100,80,60,120
10820,100.02,99.55,80.07,62.13,121.04
10821,101.03,99.07,80.12,62.81,122.5
10822,101.1,97.59,80.27,62.87,124
10823,101.11,97.04,80.5,63.08,125.77
10824,101.19,96.81,80.75,63.35,126.98
10825,101.33,96.24,80.78,66.47,126.99
10826,101.71,95.56,80.8,67.09,129.74
10827,102.9,94.88,80.8,68.07,133.13
10828,102.92,94.59,80.92,69.27,134.45
10829,103.41,92.86,81.13,69.32,135.94
10830,103.44,92.44,81.38,72.64,136.19
10831,103.56,92.15,82.1,73.38,136.85
10832,104.13,91.82,82.2,74.04,138.23
10833,105.06,91.26,82.21,74.58,142.29
10834,105.38,90.49,82.58,75.18,142.67
10835,105.99,88.97,82.8,75.9,145.02
10836,100,100,80,60,120
10837,100.32,99.92,80.74,62.88,120.09
10838,100.33,98.27,81.03,62.94,121.53
10839,101.29,97.07,81.1,65.1,122.9
10840,101.44,96.36,81.12,65.15,123.84
10841,101.57,96.04,81.27,65.3,124.77
10842,102.02,94.35,81.52,65.75,125.01
10843,102.21,93.38,81.55,66.04,126.03
10844,102.39,92.75,81.67,67.14,127.69
10845,102.67,92.37,81.69,70,128.46
10846,102.86,91.48,81.9,70.37,131
10847,102.99,91.19,82.19,79.42,131.09
10848,103.08,90.8,82.25,79.57,131.18
10849,103.08,88.74,82.3,80.61,131.25
10850,100,100,80,60,120
10851,100.11,99.65,80.08,60.38,120.29
10852,100.39,98.94,80.37,61.94,122.44
10853,100.94,97.94,80.39,63.67,123.55
10854,101.82,97.58,80.42,64.79,125.29
10855,101.85,97.48,80.59,65.12,126.97
10856,102.01,97.09,80.91,65.18,128.52
10857,102.87,96.45,80.98,65.38,129.69
10858,102.96,95.68,81.46,65.61,129.9
10859,103.53,95.15,81.46,67.48,130.13
10860,103.95,94.75,81.82,69.18,134.07
10861,104.61,94.67,81.93,72.26,135.4
10862,104.65,93.54,82.39,77.24,135.65
10863,104.83,93.4,82.58,79.3,137.04
10864,105.13,93.36,82.65,81.97,137.23
