Period,Failures,Pressure,Speed,Temperature,Sound,Vibration
1,0,100,100,80,60,120
2,0,100.69,99.88,80.12,62.66,122.09
3,0,101.1,99.58,81.07,62.88,122.85
4,0,101.4,99.12,81.29,63.22,123.87
5,0,101.5,98.55,81.64,63.39,124.62
6,0,101.62,98.31,82,65.95,130.46
7,0,101.65,98,82.49,67.01,130.7
8,0,101.95,97.67,82.89,67.29,140.51
9,0,102.03,97.33,82.96,67.36,140.95
10,0,102.26,97.03,83.48,67.7,141.65
11,0,102.68,97.01,83.78,67.8,141.86
12,0,102.79,96.91,84.13,69.42,145.08
13,0,102.96,96.76,84.45,69.87,146.24
14,0,103.14,96.56,84.98,70.28,147.46
15,0,103.29,96.43,87.33,74.13,151.69
16,0,103.75,96.28,87.64,74.15,153.56
17,0,103.77,96.18,88.07,74.32,155.7
18,0,104.82,96.14,88.24,74.79,157.66
19,0,105.35,96.04,88.33,74.98,161.43
20,0,105.69,96.02,88.36,75.56,161.55
21,0,105.9,95.78,88.47,76.34,168.34
22,0,106.1,95.74,89.37,77.34,171.58
23,0,107.12,95.71,89.42,77.74,173.12
24,0,107.39,95.66,91.05,78.55,173.27
25,0,107.68,95.3,91.19,81.79,175.22
26,1,107.71,94.74,91.53,83.88,176.73
27,0,100,100,80,60,120
28,0,100.02,99.98,80.63,61.2,121.84
29,0,100.22,99.87,81.15,62.78,124.97
30,0,100.29,99.19,81.77,63.06,132.18
31,0,100.87,99.19,81.85,66.03,144.93
32,0,100.95,98.27,83.94,67.18,150.51
33,0,101,98,84.35,67.28,153.18
34,0,101.14,97.97,84.7,67.34,154.02
35,0,101.22,97.26,84.75,67.79,156.51
36,0,101.63,97.07,85.54,70.14,156.79
37,0,101.8,96.49,86.25,71.73,157.59
38,0,103.29,96.38,86.31,73.83,161.33
39,0,103.83,96.32,86.95,77.2,167.19
40,0,104.38,96.32,87.28,78.25,173.19
41,0,104.64,96.27,87.4,78.97,176.49
42,0,104.74,95.97,87.55,79.55,179.54
43,0,104.97,95.93,87.87,79.56,180.77
44,1,105.3,94.94,87.87,80.26,184.61
45,0,100,100,80,60,120
46,0,100.07,99.22,80.48,60.97,120.58
47,0,100.18,98.98,81.01,61.01,124.38
48,0,100.46,98.98,81.06,61.68,124.57
49,0,100.62,98.75,81.31,61.78,126.71
50,0,100.62,98.67,81.41,63.02,127.6
51,0,100.65,98.32,82.96,63.57,128.17
52,0,101.25,98.21,83.41,63.91,129.18
53,0,101.97,98.06,83.66,64.61,129.61
54,0,102.18,97.64,84.01,65.47,133.89
55,0,102.21,97.61,84.78,66.86,135.29
56,0,102.86,96.68,86.2,68.35,137
57,0,102.97,96.36,87,70.06,138.27
58,0,103.4,95.86,87.03,70.52,138.76
59,0,104.13,95.32,87.59,72.14,141.29
60,1,104.22,94.73,88.01,72.5,142.12
61,0,100,100,80,60,120
62,0,100,99.87,80.4,61.03,120.25
63,0,100.2,99.74,82.53,61.46,130.46
64,0,100.33,99.7,82.92,61.48,130.58
65,0,100.48,99.7,83.37,61.58,134.53
66,0,100.96,99.61,84.19,61.77,138.89
67,0,101.12,99.44,84.49,62.53,139.23
68,0,101.72,99.29,84.87,64.13,142.05
69,0,101.75,99.18,85.71,65.51,143.75
70,0,101.78,98.55,86.18,65.84,146.86
71,0,102.2,98.52,86.41,66.25,147.98
72,0,102.79,98.38,87.02,66.62,149.35
73,0,103.42,98.06,87.46,67.05,149.72
74,0,103.54,97.95,88.9,67.32,153.8
75,0,103.73,97.64,89.55,67.49,155.04
76,0,103.8,97.62,90.72,67.65,157.35
77,0,104.05,97.61,90.85,68.53,164.31
78,0,104.12,97.55,91.48,68.67,165.49
79,0,105.37,97.53,91.63,69.74,167.12
80,0,105.59,97.51,91.71,70.31,167.69
81,0,105.97,97.44,92.97,70.96,168.33
82,0,106.06,97.26,93.02,71.56,168.52
83,0,106.1,97.08,93.06,74.22,176.17
84,0,106.29,96.84,93.55,75.88,176.66
85,0,106.36,96.83,94.91,76.29,179.63
86,0,107.21,96.74,95.03,76.42,182.77
87,0,107.43,96.5,95.27,76.54,184.76
88,0,107.98,96.44,96.3,77.32,185.3
89,0,108.11,96.34,96.4,77.36,191.9
90,0,108.24,96.21,96.52,78.19,193.76
91,0,108.29,96.11,97.3,80.73,199.41
92,0,108.35,95.78,97.42,80.77,200.22
93,0,109.94,95.61,98.29,82.84,203.88
94,1,110.15,95.59,98.79,84.24,204.45
95,0,100,100,80,60,120
96,0,100.43,99.97,80.18,61.86,120.22
97,0,100.9,99.57,80.29,62.25,120.47
