Period,Pressure,Speed,Temperature,Sound,Vibration
1,100,100,80,60,120
2,100.19,98.89,80.01,60.07,120.4
3,100.55,96.62,80.02,61.33,121
4,100.68,96.46,80.19,63.28,121.6
5,102.03,95.76,80.38,65.14,123.29
6,102.57,94.51,80.69,65.18,124.04
7,102.61,92.81,80.97,65.81,124.36
8,103.02,92.15,81.1,67.38,125.1
9,103.19,91.93,81.18,76.39,126.16
10,103.56,90.06,81.45,77.11,129.57
11,103.6,88.87,81.51,78.44,129.96
12,100,100,80,60,120
13,100.63,99.53,80.52,61.31,121.28
14,100.74,99.29,80.83,61.36,121.4
15,100.83,99.04,81.02,62.52,123.45
16,101.68,97.77,81.1,62.82,124.03
17,101.79,97.23,81.21,63.09,129.65
18,102.02,96.03,81.56,64.65,131.48
19,102.3,95.11,81.62,66.14,132.87
20,102.46,93.8,81.67,68.46,133.45
21,102.85,93.75,81.75,69.64,133.97
22,102.91,93.02,81.79,70.86,134.37
23,103.02,91.68,81.82,73.11,134.41
24,103.09,90.22,82.17,74.16,134.85
25,103.22,89.3,82.44,74.96,135.09
26,100,100,80,60,120
27,100.12,97.11,80.25,61.35,120.37
28,101.1,95.47,80.38,63.36,121.13
29,101.21,94,80.43,64.54,121.69
30,101.27,92.69,80.44,65.25,123.85
31,101.7,92.3,80.45,65.44,125.15
32,102.95,92.3,80.45,67.56,125.83
33,102.97,91.87,80.75,69.16,127.61
34,103.44,91.13,81.29,71.95,128.26
35,104.35,88.91,81.41,72.66,133.72
36,100,100,80,60,120
37,100.15,99.78,80.14,61.2,120.91
38,100.35,99.22,80.47,61.33,121.42
39,101.3,99.2,80.57,62.17,122.61
40,101.43,98.96,80.63,62.27,124.66
41,101.85,97.73,80.65,62.55,125.5
42,102.49,97.55,80.76,64.97,130
43,102.8,97.29,80.79,66.13,130.32
44,102.83,97.18,81.31,68.72,130.58
45,103.32,94.88,81.61,69.06,131.52
46,103.44,94.08,81.74,71.03,133.92
47,103.77,93.49,81.8,71.27,135.15
48,103.85,92.74,82.05,73.36,135.64
49,103.87,90.51,82.39,74.39,135.85
50,104.44,90.1,82.7,75.8,136.28
51,104.8,88.91,82.8,77.83,139.02
52,100,100,80,60,120
53,100.26,98.68,80.12,63.23,120.81
54,100.43,98.41,80.26,65.15,121.59
55,100.56,98.34,80.33,66.74,124.35
56,100.69,96.28,80.34,67.46,125.73
57,100.97,94.31,80.57,69.72,125.82
58,101.05,92.31,80.62,71.92,126.74
59,101.35,91.35,80.81,75.63,126.79
60,101.36,90.6,80.87,76.42,130.59
61,101.72,90.05,80.88,77.41,131.34
62,101.94,89.38,80.98,77.48,132.1
63,100,100,80,60,120
64,100.33,98.31,80.03,60.46,120.41
