Instance, n, Average_p, Average_D, Average_setup 
1.00, 4.00, 6.42, 7.12, 5.08 
2.00, 4.00, 7.03, 6.75, 5.17 
3.00, 4.00, 8.28, 6.50, 5.23 
4.00, 4.00, 7.95, 4.50, 4.87 
5.00, 4.00, 7.95, 6.88, 5.11 
6.00, 4.00, 6.85, 7.38, 4.75 
7.00, 4.00, 8.50, 5.12, 4.93 
8.00, 4.00, 6.88, 5.50, 4.95 
9.00, 4.00, 5.55, 7.62, 4.66 
10.00, 4.00, 7.97, 6.12, 4.99 
11.00, 4.00, 7.05, 4.50, 4.95 
12.00, 4.00, 7.70, 6.50, 4.52 
13.00, 4.00, 6.25, 5.12, 4.84 
14.00, 4.00, 7.30, 7.38, 5.26 
15.00, 4.00, 7.28, 6.00, 5.17 
1.00, 6.00, 5.00, 5.42, 3.17 
2.00, 6.00, 4.48, 7.25, 3.17 
3.00, 6.00, 5.12, 5.92, 3.29 
4.00, 6.00, 4.40, 5.92, 3.09 
5.00, 6.00, 5.30, 6.08, 3.20 
6.00, 6.00, 4.67, 5.08, 3.06 
7.00, 6.00, 5.65, 6.00, 2.90 
8.00, 6.00, 5.03, 5.67, 3.09 
9.00, 6.00, 4.68, 5.83, 3.15 
10.00, 6.00, 4.92, 5.92, 3.23 
11.00, 6.00, 5.45, 5.00, 3.39 
12.00, 6.00, 4.52, 4.92, 3.15 
13.00, 6.00, 5.52, 6.33, 3.43 
14.00, 6.00, 4.97, 6.50, 3.45 
15.00, 6.00, 4.78, 6.00, 3.12 
1.00, 8.00, 3.37, 6.38, 2.29 
2.00, 8.00, 3.52, 6.69, 2.29 
3.00, 8.00, 4.02, 6.19, 2.38 
4.00, 8.00, 3.67, 5.94, 2.42 
5.00, 8.00, 3.34, 5.94, 2.31 
6.00, 8.00, 3.57, 5.88, 2.46 
7.00, 8.00, 3.90, 7.00, 2.32 
8.00, 8.00, 3.80, 6.12, 2.27 
9.00, 8.00, 3.57, 5.62, 2.24 
10.00, 8.00, 3.51, 4.88, 2.46 
11.00, 8.00, 3.33, 6.75, 2.23 
12.00, 8.00, 3.40, 5.75, 2.35 
13.00, 8.00, 3.69, 6.69, 2.56 
14.00, 8.00, 3.62, 5.50, 2.42 
15.00, 8.00, 4.15, 5.19, 2.08 
1.00, 10.00, 2.96, 6.35, 1.83 
2.00, 10.00, 2.68, 6.30, 2.00 
3.00, 10.00, 2.93, 5.40, 1.73 
4.00, 10.00, 2.92, 6.40, 1.93 
5.00, 10.00, 2.93, 6.05, 1.88 
