Instance, n, Average_p, Average_D, Average_setup 
1.00, 4.00, 5.67, 11.00, 13.77 
2.00, 4.00, 5.97, 10.75, 13.85 
3.00, 4.00, 6.08, 11.00, 13.87 
4.00, 4.00, 5.80, 10.50, 13.76 
5.00, 4.00, 6.65, 10.25, 13.99 
6.00, 4.00, 7.15, 10.25, 13.90 
7.00, 4.00, 5.97, 10.00, 13.57 
8.00, 4.00, 6.15, 10.88, 13.69 
9.00, 4.00, 6.60, 10.62, 13.87 
10.00, 4.00, 6.30, 10.88, 13.41 
11.00, 4.00, 5.85, 11.00, 13.74 
12.00, 4.00, 6.07, 11.00, 13.29 
13.00, 4.00, 6.00, 10.12, 13.64 
14.00, 4.00, 6.28, 10.75, 13.84 
15.00, 4.00, 6.35, 11.12, 13.83 
1.00, 6.00, 3.75, 10.92, 9.10 
2.00, 6.00, 3.82, 11.08, 8.99 
3.00, 6.00, 4.28, 10.58, 9.14 
4.00, 6.00, 4.15, 10.33, 9.04 
5.00, 6.00, 4.12, 10.67, 9.13 
6.00, 6.00, 4.05, 9.83, 9.03 
7.00, 6.00, 4.17, 10.25, 9.05 
8.00, 6.00, 3.80, 10.33, 9.11 
9.00, 6.00, 4.10, 10.42, 9.03 
10.00, 6.00, 4.30, 10.67, 9.04 
11.00, 6.00, 4.38, 10.25, 9.12 
12.00, 6.00, 4.38, 11.08, 9.21 
13.00, 6.00, 4.03, 10.25, 9.04 
14.00, 6.00, 3.98, 11.00, 9.25 
15.00, 6.00, 3.53, 10.42, 9.25 
1.00, 8.00, 2.96, 10.69, 6.83 
2.00, 8.00, 3.31, 10.44, 6.84 
3.00, 8.00, 2.98, 10.69, 6.82 
4.00, 8.00, 3.09, 10.50, 6.81 
5.00, 8.00, 2.92, 10.81, 6.87 
6.00, 8.00, 3.02, 10.62, 6.79 
7.00, 8.00, 3.06, 10.38, 6.88 
8.00, 8.00, 3.06, 10.50, 6.92 
9.00, 8.00, 2.98, 10.38, 6.79 
10.00, 8.00, 3.04, 10.44, 6.77 
11.00, 8.00, 3.04, 10.75, 6.85 
12.00, 8.00, 3.10, 10.38, 6.82 
13.00, 8.00, 3.24, 10.62, 6.73 
14.00, 8.00, 3.11, 10.56, 6.85 
15.00, 8.00, 3.11, 10.62, 6.82 
