,Instance, n, Average_p, Average_D,Cluster, Average_setup 
0,1.0,4.0,5.67,11.0,5,13.77
1,2.0,4.0,5.97,10.75,5,13.85
2,3.0,4.0,6.08,11.0,5,13.87
3,4.0,4.0,5.8,10.5,5,13.76
4,5.0,4.0,6.65,10.25,5,13.99
5,6.0,4.0,7.15,10.25,5,13.9
6,7.0,4.0,5.97,10.0,5,13.57
7,8.0,4.0,6.15,10.88,5,13.69
8,9.0,4.0,6.6,10.62,5,13.87
9,10.0,4.0,6.3,10.88,5,13.41
10,11.0,4.0,5.85,11.0,5,13.74
11,12.0,4.0,6.07,11.0,5,13.29
12,13.0,4.0,6.0,10.12,5,13.64
13,14.0,4.0,6.28,10.75,5,13.84
14,15.0,4.0,6.35,11.12,5,13.83
15,1.0,6.0,3.75,10.92,3,9.1
16,2.0,6.0,3.82,11.08,3,8.99
17,3.0,6.0,4.28,10.58,3,9.14
18,4.0,6.0,4.15,10.33,3,9.04
19,5.0,6.0,4.12,10.67,3,9.13
20,6.0,6.0,4.05,9.83,3,9.03
21,7.0,6.0,4.17,10.25,3,9.05
22,8.0,6.0,3.8,10.33,3,9.11
23,9.0,6.0,4.1,10.42,3,9.03
24,10.0,6.0,4.3,10.67,3,9.04
25,11.0,6.0,4.38,10.25,3,9.12
26,12.0,6.0,4.38,11.08,3,9.21
27,13.0,6.0,4.03,10.25,3,9.04
28,14.0,6.0,3.98,11.0,3,9.25
29,15.0,6.0,3.53,10.42,3,9.25
30,1.0,8.0,2.96,10.69,3,6.83
31,2.0,8.0,3.31,10.44,3,6.84
32,3.0,8.0,2.98,10.69,3,6.82
33,4.0,8.0,3.09,10.5,3,6.81
34,5.0,8.0,2.92,10.81,3,6.87
35,6.0,8.0,3.02,10.62,3,6.79
36,7.0,8.0,3.06,10.38,3,6.88
37,8.0,8.0,3.06,10.5,3,6.92
38,9.0,8.0,2.98,10.38,3,6.79
39,10.0,8.0,3.04,10.44,3,6.77
40,11.0,8.0,3.04,10.75,3,6.85
41,12.0,8.0,3.1,10.38,3,6.82
42,13.0,8.0,3.24,10.62,3,6.73
43,14.0,8.0,3.11,10.56,3,6.85
44,15.0,8.0,3.11,10.62,3,6.82
45,1.0,10.0,2.5,10.45,1,5.41
46,2.0,10.0,2.41,10.15,1,5.45
47,3.0,10.0,2.37,10.6,1,5.49
48,4.0,10.0,2.56,10.45,1,5.44
49,5.0,10.0,2.25,10.65,1,5.43
50,6.0,10.0,2.58,10.75,1,5.45
51,7.0,10.0,2.43,10.85,1,5.48
52,8.0,10.0,2.42,10.35,1,5.46
53,9.0,10.0,2.44,10.7,1,5.45
54,10.0,10.0,2.37,10.7,1,5.45
55,11.0,10.0,2.39,10.3,1,5.43
56,12.0,10.0,2.5,10.3,1,5.46
57,13.0,10.0,2.6,10.2,1,5.5
58,14.0,10.0,2.41,10.25,1,5.5
59,15.0,10.0,2.41,10.8,1,5.46
60,1.0,12.0,1.95,10.38,1,4.55
61,2.0,12.0,2.09,10.46,1,4.53
62,3.0,12.0,1.94,10.46,1,4.53
63,4.0,12.0,2.0,9.58,1,4.53
64,5.0,12.0,1.92,10.75,1,4.56
65,6.0,12.0,2.02,10.42,1,4.54
66,7.0,12.0,2.08,10.25,1,4.56
67,8.0,12.0,2.07,10.67,1,4.52
68,9.0,12.0,2.13,10.62,1,4.51
69,10.0,12.0,1.98,10.25,1,4.51
70,11.0,12.0,2.01,10.58,1,4.54
71,12.0,12.0,1.94,10.79,1,4.47
72,13.0,12.0,2.01,10.42,1,4.53
73,14.0,12.0,2.11,9.96,1,4.51
74,15.0,12.0,1.96,10.29,1,4.52
75,1.0,15.0,1.62,10.23,1,3.62
76,2.0,15.0,1.62,10.43,1,3.65
77,3.0,15.0,1.58,10.7,1,3.63
78,4.0,15.0,1.58,10.8,1,3.64
79,5.0,15.0,1.68,10.7,1,3.59
80,6.0,15.0,1.71,10.5,1,3.62
81,7.0,15.0,1.64,10.63,1,3.61
82,8.0,15.0,1.63,10.9,1,3.61
83,9.0,15.0,1.61,10.87,1,3.61
84,10.0,15.0,1.65,10.5,1,3.62
85,11.0,15.0,1.64,10.43,1,3.62
86,12.0,15.0,1.58,10.5,1,3.62
87,13.0,15.0,1.59,10.5,1,3.63
88,14.0,15.0,1.6,10.47,1,3.63
89,15.0,15.0,1.6,10.47,1,3.61
90,1.0,20.0,1.21,10.65,4,2.7
91,2.0,20.0,1.22,10.6,4,2.69
92,3.0,20.0,1.21,10.4,4,2.69
93,4.0,20.0,1.18,10.68,4,2.7
94,5.0,20.0,1.22,10.43,4,2.7
95,6.0,20.0,1.19,10.65,4,2.69
96,7.0,20.0,1.26,10.32,4,2.71
97,8.0,20.0,1.19,10.57,4,2.69
98,9.0,20.0,1.15,10.32,4,2.7
99,10.0,20.0,1.18,10.47,4,2.7
100,11.0,20.0,1.27,10.65,4,2.71
101,12.0,20.0,1.22,10.15,4,2.7
102,13.0,20.0,1.23,10.55,4,2.7
103,14.0,20.0,1.2,10.7,4,2.69
104,15.0,20.0,1.17,10.72,4,2.71
105,1.0,50.0,0.47,10.43,0,1.05
106,2.0,50.0,0.45,10.53,0,1.05
107,3.0,50.0,0.45,10.45,0,1.05
108,4.0,50.0,0.45,10.5,0,1.05
